"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Сценарий: с главной страницы переходим в ленту заказов, затем нажимаем «Конструктор» в шапке и проверяем, что вернулись на главную.","751","Главная → «Лента заказов» → «Конструктор» → Главная","tests","2026-09-22","passed","2026-09-22","TestMainPage","test_main_page","",""
"Проверяется, что после оформления заказа значение счётчика «Выполнено за сегодня» увеличивается.","9389","Счётчик «Выполнено за сегодня» увеличивается при новом заказе","tests","2026-09-22","passed","2026-09-22","TestFeed","test_feed","",""
"Проверяется, что после оформления нового заказа значение счётчика «Выполнено за всё время» на странице ленты заказов увеличивается.","8101","Счётчик «Выполнено за всё время» увеличивается при новом заказе","tests","2026-09-22","passed","2026-09-22","TestFeed","test_feed","",""
"Тест проверяет логику счётчика ингредиентов: после добавления ингредиента в заказ значение счётчика должно увеличиться. Сравниваются значения до и после действия.","398","При добавлении начинки счётчик увеличивается","tests","2026-09-22","passed","2026-09-22","TestMainPage","test_main_page","",""
"Проверяется, что оформленный заказ отображается в разделе «В работе» ленты. Тест запоминает номер заказа из модального окна подтверждения и ищет именно этот номер в списке.","7344","После оформления заказа его номер появляется в разделе «В работе»","tests","2026-09-22","passed","2026-09-22","TestFeed","test_feed","",""
"Проверяется корректное закрытие модального окна при нажатии на кнопку-крестик. Тест убеждается, что окно действительно исчезает со страницы.","303","Модальное окно закрывается кликом по крестику","tests","2026-09-22","passed","2026-09-22","TestMainPage","test_main_page","",""
"Проверяется переход на страницу «Лента заказов» по клику на соответствующую кнопку. Убеждаемся, что URL страницы совпадает с ожидаемым адресом ленты.","282","Переход по клику на раздел «Лента заказов»","tests","2026-09-22","passed","2026-09-22","TestMainPage","test_main_page","",""
"Проверяется корректное закрытие модального окна при нажатии на кнопку-крестик. Тест убеждается, что окно действительно исчезает со страницы.","461","Модальное окно закрывается кликом по крестику","tests","2026-09-22","passed","2026-09-22","TestMainPage","test_main_page","",""
"Проверяется, что оформленный заказ отображается в разделе «В работе» ленты. Тест запоминает номер заказа из модального окна подтверждения и ищет именно этот номер в списке.","11610","После оформления заказа его номер появляется в разделе «В работе»","tests","2026-09-22","passed","2026-09-22","TestFeed","test_feed","",""
"Проверяется переход на страницу «Лента заказов» по клику на соответствующую кнопку. Убеждаемся, что URL страницы совпадает с ожидаемым адресом ленты.","224","Переход по клику на раздел «Лента заказов»","tests","2026-09-22","passed","2026-09-22","TestMainPage","test_main_page","",""
"Тест проверяет логику счётчика ингредиентов: после добавления ингредиента в заказ значение счётчика должно увеличиться. Сравниваются значения до и после действия.","242","При добавлении начинки счётчик увеличивается","tests","2026-09-22","passed","2026-09-22","TestMainPage","test_main_page","",""
"Проверяется, что после оформления заказа значение счётчика «Выполнено за сегодня» увеличивается.","9105","Счётчик «Выполнено за сегодня» увеличивается при новом заказе","tests","2026-09-22","passed","2026-09-22","TestFeed","test_feed","",""
"Проверяется, что после оформления нового заказа значение счётчика «Выполнено за всё время» на странице ленты заказов увеличивается.","17442","Счётчик «Выполнено за всё время» увеличивается при новом заказе","tests","2026-09-22","passed","2026-09-22","TestFeed","test_feed","",""
"При клике на конкретный ингредиент должно открываться модальное окно. Тест проверяет факт появления окна и корректность его заголовка («Детали ингредиента»).","204","При клике на ингредиент открывается модальное окно с деталями","tests","2026-09-22","passed","2026-09-22","TestMainPage","test_main_page","",""
"При клике на конкретный ингредиент должно открываться модальное окно. Тест проверяет факт появления окна и корректность его заголовка («Детали ингредиента»).","418","При клике на ингредиент открывается модальное окно с деталями","tests","2026-09-22","passed","2026-09-22","TestMainPage","test_main_page","",""
"Сценарий: с главной страницы переходим в ленту заказов, затем нажимаем «Конструктор» в шапке и проверяем, что вернулись на главную.","1024","Главная → «Лента заказов» → «Конструктор» → Главная","tests","2026-09-22","passed","2026-09-22","TestMainPage","test_main_page","",""
